IDimpacto_material;Houses Destroyed;Houses Damaged
174902;0;50
175002;10;20
175102;0;0
175202;0;0
175302;0;0
175402;0;0
175502;0;0
175602;30;0
175702;0;0
175802;0;0
175902;0;0
176002;0;0
176102;0;0
176202;0;0
176302;0;0
176402;0;0
176502;0;0
176602;0;0
176702;0;0
176802;0;0
176902;0;0
177002;0;120
177102;300;0
177202;0;0
177302;0;0
177402;80;0
177502;0;0
177602;70;0
177702;0;0
177802;10;0
177902;0;0
178002;0;0
178102;0;10
178202;0;0
178302;30;0
178402;20;0
178502;40;0
178602;0;0
178702;0;0
178802;0;0
178902;0;0
179002;0;0
179102;0;0
179202;10;0
179302;0;0
179402;0;0
179502;0;0
179602;90;0
179702;0;0
179802;0;0
179902;0;0
180002;10;0
180102;40;60
180202;0;0
180302;50;0
180402;0;0
180502;0;0
180602;0;0
180702;0;0
180802;0;0
180902;60;0
181002;0;0
181102;0;0
181202;700;0
181302;0;0
181402;40;380
181502;0;0
181602;0;10
181702;0;0
181802;0;0
181902;0;0
182002;10;0
182102;0;0
182202;600;0
182302;0;0
182402;0;0
182502;0;0
182602;0;0
182702;0;0
182802;0;0
182902;0;0
183002;0;0
183102;0;0
183202;0;0
183302;0;0
183402;250;0
183502;0;0
183602;0;0
183702;0;0
183802;0;0
183902;0;0
184002;0;0
184102;0;0
184202;0;0
184302;0;0
184402;0;0
184502;0;0
184602;0;0
184702;0;0
184802;0;0
184902;0;0
185002;0;0
185102;0;0
185202;0;0
185302;0;0
185402;0;0
185502;0;0
185602;0;0
185702;0;0
185802;0;0
185902;0;0
186002;0;0
186102;300;6300
186202;0;0
186302;0;0
186402;0;0
186502;0;0
186602;0;0
186702;0;0
186802;0;0
186902;0;0
187002;0;0
187102;0;0
187202;0;0
187302;0;0
187402;0;0
187502;0;0
187602;0;0
187702;0;0
187802;0;0
187902;20;0
188002;10;0
188102;30;0
188202;0;0
188302;0;0
188402;0;0
188502;0;0
188602;0;0
188702;0;0
188802;0;0
188902;10;0
189002;0;0
189102;0;0
189202;0;0
189302;0;0
189402;0;0
189502;60;0
189602;0;0
189702;50;0
189802;0;0
189902;0;0
190002;0;0
190102;0;0
190202;0;0
190302;0;0
190402;0;0
190502;0;0
190602;0;0
190702;0;0
190802;0;0
190902;80;0
191002;0;0
191102;20;100
191202;0;0
191302;0;0
191402;0;0
191502;0;0
191602;10;0
191702;0;0
191802;0;0
191902;0;0
192002;0;0
192102;0;0
192202;0;0
192302;0;0
192402;0;0
192502;440;0
192602;0;0
192702;0;0
192802;0;0
192902;0;0
193002;300;1000
193102;0;0
193202;750;0
193302;10;0
193402;500;0
193502;0;0
193602;0;0
193702;0;0
193802;20;0
193902;0;0
194002;0;0
194102;0;0
194202;0;0
194302;0;0
194402;0;0
194502;0;0
194602;0;0
194702;0;0
194802;0;0
194902;0;0
195002;0;0
195102;0;0
195202;0;0
195302;0;0
195402;0;0
195502;0;0
195602;0;0
195702;0;0
