id_Historico_Desastre;Event;Municipio;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;Muertos;Heridos;Desaparecidos;IDimpacto_humano;Casas destruidas;Casas dañadas;Pérdidas económicas;With Deaths;With Injured;With Missing;With Houses Destroyed;With Victims;Tipo_desastre;idDetalleDesastre
502150;FLOOD;Medellín;18/04/1978;RAIN;;EL TIEMPO 1978-04-19 P.3A;215102;0;0;0;215101;0;0;0;0;0;0;0;0;Hidrológico;5021503
502151;FLOOD;Itaguí;17/04/1978;RAIN;;EL TIEMPO 1978-04-18 P.1-6A;215202;10;0;0;215201;0;0;0;10;0;0;0;0;Hidrológico;5021513
502152;FLOOD;Nechí;12/04/1978;OVERFLOW;;EL TIEMPO 1978-04-15 P.8A;215302;0;0;0;215301;0;0;0;0;0;0;0;0;Hidrológico;5021523
502153;INTOXICACION;Concordia;21/03/1978;CONTAMINATION;Consumo de tortas de pescado alterado.;EL TIEMPO 1978-03-23 P.6A;215402;30;20;0;215401;0;0;0;10;10;0;0;0;Técnico;5021533
502154;FIRE;Apartadó;28/01/1978;UNKNOWN;;EL TIEMPO 1978-01-28 P.2A;215502;0;0;0;215501;0;0;200000000;0;0;0;0;0;Técnico;5021543
502155;FIRE;Medellín;24/11/1977;EXPLOSION;Explosiòn de fogón de petroleo;EL TIEMPO 1977-11-25 Pag 11A;215602;0;0;0;215601;60;0;0;0;0;0;10;10;Técnico;5021553
502156;FIRE;La Estrella;11/11/1977;SHORTCIRCUIT;El evento fue avivado por combustible en cercanias maquina.;EL TIEMPO 1977-11-12 Pag 7-A;215702;0;0;0;215701;0;0;60000000;0;0;0;0;0;Técnico;5021563
502157;FIRE;Medellín;16/09/1977;SHORTCIRCUIT;;EL TIEMPO 1977-09-17 Pag 8-A;215802;0;0;0;215801;0;0;70000000;0;0;0;0;0;Técnico;5021573
502158;EARTHQUAKE;Apartadó;15/09/1977;FAILURE;;BDOD-21151-ING.;215902;20;230;0;215901;0;0;0;10;10;0;0;0;Geofísico;5021583
502159;FIRE;Medellín;12/09/1977;SHORTCIRCUIT;;EL TIEMPO 1977-09-13Pag 16-A;216002;0;0;0;216001;0;0;10000000;0;0;0;0;0;Técnico;5021593
502160;EARTHQUAKE;Dabeiba;30/08/1977;FAILURE;;EL TIEMPO 1977-08-31 Pag 8-A;216102;30;0;0;216101;0;0;0;10;0;0;10;0;Geofísico;5021603
502161;EARTHQUAKE;Chigorodó;30/08/1977;FAILURE;;EL TIEMPO 1977-08-31 Pag 8-A;216202;0;0;0;216201;0;0;0;0;10;0;10;0;Geofísico;5021613
502162;EARTHQUAKE;Turbo;30/08/1977;FAILURE;;EL TIEMPO 1977-08-31 Pag 8-A;216302;0;200;0;216301;0;0;0;0;10;0;10;0;Geofísico;5021623
502163;EARTHQUAKE;Apartadó;30/08/1977;FAILURE;;EL TIEMPO 1977-09-01 Pag 10-A;216402;10;180;0;216401;0;120;10000000;10;10;0;0;0;Geofísico;5021633
502164;INTOXICACION;San Vicente;29/08/1977;HUMANERROR;;EL TIEMPO 1977-08-30 Pag 8-A;216502;0;70;0;216501;0;0;0;0;10;0;0;0;Técnico;5021643
502165;EARTHQUAKE;Medellín;15/08/1977;FAILURE;;BDOD-21151;216602;0;700;0;216601;0;0;0;0;10;0;0;0;Geofísico;5021653
502166;EARTHQUAKE;Dabeiba;15/08/1977;FAILURE;;BDOD-21151;216702;0;30;0;216701;0;0;0;0;10;0;0;0;Geofísico;5021663
502167;FIRE;Medellín;7/08/1977;UNKNOWN;;EL TIEMPO 1977-08-08 Pag 9-A;216802;0;0;0;216801;0;0;0;0;0;0;0;0;Técnico;5021673
502168;LANDSLIDE;Amagá;14/07/1977;EXPLOSION;;EL TIEMPO 1977-07-15 Pag 6-A;216902;120;0;0;216901;0;0;0;10;0;0;0;0;Geofísico;5021683
502169;EXPLOSION;Amagá;6/07/1977;UNKNOWN;;BDOSSO;217002;500;0;0;217001;0;0;0;10;0;0;0;0;Técnico;5021693
502170;FIRE;Medellín;28/06/1977;SHORTCIRCUIT;;EL TIEMPO 1977-06-29 Pag 9-A;217102;0;0;0;217101;0;0;20000000;0;0;0;10;10;Técnico;5021703
502171;LANDSLIDE;Medellín;1/06/1977;UNKNOWN;;BDOD-21148;217202;40;0;0;217201;10;0;0;10;0;0;10;0;Geofísico;5021713
502172;INTOXICACION;Medellín;13/04/1977;NEGLIGENCE;;EL TIEMPO 1977-11-16 Pag 5C;217302;250;0;0;217301;0;0;0;10;0;0;0;0;Técnico;5021723
502173;ACCIDENT;Zaragoza;5/04/1977;OVERFLOW;Río Tiqui.;EL TIEMPO 1977-04-06 Pag 6-A;217402;60;0;0;217401;0;0;0;10;0;0;0;0;Técnico;5021733
502174;FLOOD;Medellín;30/03/1977;UNKNOWN;;EL TIEMPO 1977-04-01 Pag 11;217502;0;0;0;217501;0;0;0;0;0;0;0;0;Hidrológico;5021743
502175;FIRE;Medellín;2/03/1977;OTHER;;EL TIEMPO 1977-03-03;217602;10;0;0;217601;10;100;100000000;10;0;0;10;10;Técnico;5021753
502176;FIRE;Medellín;21/01/1977;SHORTCIRCUIT;;EL TIEMPO 1977-01-22;217702;0;0;0;217701;0;0;50000000;0;0;0;0;0;Técnico;5021763
502177;DROUGHT;Medellín;16/01/1977;ATMOSPHCONDITION;Racionamiento;EL TIEMPO 1977-01-17;217802;0;0;0;217801;0;0;0;0;0;0;0;0;Hidrológico;5021773
502178;SURGE;Turbo;7/01/1977;ATMOSPHCONDITION;;EL TIEMPO 1977-01-09;217902;50;0;0;217901;0;0;0;10;0;0;0;0;Atmosférico;5021783
502179;FIRE;Medellín;25/12/1976;OTHER;Cayó globo sobre uno de los talleres de hilanderías;EL TIEMPO 1976-12-27 P.7A;218002;0;0;0;218001;0;0;20000000;0;0;0;0;0;Técnico;5021793
502180;POLLUTION;Donmatías;4/12/1976;LEAK;4 canecas de Parathión cayeron a las aguas;EL TIEMPO 1976-12-05 P.ppal;218102;0;0;0;218101;0;0;0;0;0;0;0;0;Atmosférico;5021803
502181;EXPLOSION;Medellín;15/11/1976;HUMANERROR;Experimento con clorato de potasio ;EL TIEMPO 1976-11-17 P.8A;218202;30;80;0;218201;0;0;0;10;10;0;0;0;Técnico;5021813
502182;INTOXICACION;Medellín;9/11/1976;CONTAMINATION;Consumo de mortadela en estado de descomposición;EL TIEMPO 1976-11-11 P.ppal-5B;218302;0;1500;0;218301;0;0;0;0;10;0;0;0;Técnico;5021823
502183;STORM;Bello;4/11/1976;ATMOSPHCONDITION;;EL TIEMPO 1976-11-05 P.14A;218402;0;0;0;218401;0;0;0;0;0;0;0;0;Atmosférico;5021833
