IDimpacto_material;Houses Destroyed;Houses Damaged;Losses $Local
131502;0;0;0
131602;0;320;0
131702;0;100;0
131802;0;0;0
131902;0;0;0
132002;10;0;0
132102;0;4100;0
132202;0;0;0
132302;70;190;0
132402;60;240;0
132502;20;120;0
132602;0;2500;0
132702;0;0;0
132802;0;1400;0
132902;20;150;0
133002;0;3270;0
133102;0;0;0
133202;0;1340;0
133302;20;50;0
133402;20;1280;0
133502;0;20000;0
133602;0;0;0
133702;0;13340;0
133802;0;3950;0
133902;0;100;0
134002;0;500;0
134102;10;190;0
134202;0;50;0
134302;0;13760;0
134402;0;20;0
134502;0;1200;0
134602;0;500;0
134702;0;2000;0
134802;0;200;0
134902;0;2000;0
135002;40;0;0
135102;0;50;0
135202;10;50;0
135302;0;130;0
135402;0;150;0
135502;0;100;0
135602;0;170;0
135702;0;200;0
135802;0;0;0
135902;20;0;0
136002;0;200;0
136102;20;0;0
136202;0;15000;0
136302;140;100;0
136402;0;20;0
136502;0;10;0
136602;0;0;0
136702;0;30;0
136802;0;2590;0
136902;20;240;0
137002;0;100;0
137102;0;400;0
137202;0;6200;0
137302;0;0;0
137402;0;2000;0
137502;0;3300;0
137602;0;200;0
137702;0;1000;0
137802;0;150;0
137902;10;20;0
138002;0;100;0
138102;0;180;0
138202;0;0;0
138302;0;0;0
138402;0;700;0
138502;10;0;0
138602;0;500;0
138702;0;600;0
138802;0;30;0
138902;0;500;0
139002;0;5000;0
139102;0;70;0
139202;0;100;0
139302;0;250;0
139402;110;1300;0
139502;0;27000;0
139602;0;10;0
139702;0;12000;0
139802;0;2000;0
139902;0;60;0
140002;0;200;0
140102;0;540;0
140202;0;400;0
140302;0;60;0
140402;40;40;0
140502;0;800;0
140602;0;150;0
140702;10;90;0
140802;20;480;0
140902;0;6300;0
141002;20;90;0
141102;0;60;0
141202;0;6000;0
141302;10;0;0
141402;1440;0;0
141502;0;10;0
141602;0;650;0
141702;0;100;0
141802;0;300;0
141902;0;1000;0
142002;0;0;0
142102;0;0;0
142202;20;0;0
142302;20;2980;0
142402;0;0;0
142502;10;0;0
142602;10;0;0
142702;0;770;0
142802;0;2500;0
142902;30;0;0
143002;0;360;0
143102;0;270;0
143202;0;180;0
143302;0;240;0
143402;0;2500;0
143502;0;3500;0
143602;0;0;0
143702;0;1000;0
143802;0;450;0
143902;10;790;0
144002;0;4160;0
144102;0;500;0
144202;0;0;0
144302;0;0;0
144402;0;0;0
144502;0;0;0
144602;0;0;0
144702;0;0;0
144802;0;2000;0
144902;0;0;0
145002;10;40;0
145102;0;0;0
145202;0;0;0
145302;0;0;0
145402;100;4000;0
145502;0;0;0
145602;0;0;0
145702;0;0;0
145802;0;0;0
145902;0;300;0
146002;0;0;0
146102;0;0;0
146202;0;0;0
146302;0;270;0
146402;10;0;0
146502;20;2000;0
146602;100;4000;0
146702;0;1000;0
146802;10;20;0
146902;190;0;0
147002;0;80;0
147102;0;1000;0
147202;0;780;0
147302;0;250;0
147402;0;180;0
147502;0;400;0
147602;0;50;0
147702;0;60;0
147802;0;430;0
147902;20;20;0
148002;0;950;0
148102;0;0;0
148202;50;90;0
148302;10;0;0
148402;0;0;0
148502;0;350;0
148602;10;0;0
148702;0;180;0
148802;0;250;0
148902;0;280;0
149002;0;300;0
149102;0;250;0
149202;0;250;0
149302;0;250;0
149402;0;60;0
149502;0;400;0
149602;0;1600;0
149702;0;300;0
149802;0;450;0
149902;0;30;0
150002;0;250;0
150102;10;0;0
150202;0;70;0
150302;20;50;0
150402;50;400;0
150502;0;0;0
150602;0;0;0
150702;0;2370;0
150802;0;0;0
150902;0;150;0
151002;0;0;0
151102;0;0;0
151202;0;0;0
151302;10;0;0
151402;0;130;0
151502;0;250;0
151602;0;300;0
151702;0;60;0
151802;0;250;0
151902;0;20;0
152002;0;3000;0
152102;0;3150;0
152202;0;5380;0
152302;0;100;0
